*Are you self-employed?*,How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided health coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health disorders and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, how easy or difficult would it be to ask for that leave?",Would you feel more comfortable talking to your coworkers about your physical health or your mental health?,Would you feel comfortable discussing a mental health issue with your direct supervisor(s)?,Have you ever discussed your mental health with your employer?,"Describe the conversation you had with your employer about your mental health, including their reactions and what actions were taken to address your mental health issue/questions.",Would you feel comfortable discussing a mental health issue with your coworkers?,Have you ever discussed your mental health with coworkers?,Describe the conversation with coworkers you had about your mental health including their reactions.,Have you ever had a coworker discuss their or another coworker's mental health with you?,Describe the conversation your coworker had with you about their mental health (please do not use names).,"Overall, how much importance does your employer place on physical health?","Overall, how much importance does your employer place on mental health?",Do you have medical coverage (private insurance or state-provided) that includes treatment of mental health disorders?,Do you know local or online resources to seek help for a mental health issue?,"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to clients or business contacts?","If you have revealed a mental health disorder to a client or business contact, how has this affected you or the relationship?","If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to coworkers or employees?","If you have revealed a mental health disorder to a coworker or employee, how has this impacted you or the relationship?",Do you believe your productivity is ever affected by a mental health issue?,"If yes, what percentage of your work time (time performing primary or secondary job functions) is affected by a mental health issue?",*Do you have previous employers?*,Was your employer primarily a tech company/organization?,Have your previous employers provided mental health benefits?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health disorders and how to seek help?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Would you have felt more comfortable talking to your previous employer about your physical health or your mental health?,Would you have been willing to discuss your mental health with your direct supervisor(s)?,Did you ever discuss your mental health with your previous employer?,"Describe the conversation you had with your previous employer about your mental health, including their reactions and actions taken to address your mental health issue/questions.",Would you have been willing to discuss your mental health with your coworkers at previous employers?,Did you ever discuss your mental health with a previous coworker(s)?,Describe the conversation you had with your previous coworkers about your mental health including their reactions.,Did you ever have a previous coworker discuss their or another coworker's mental health with you?,Describe the conversation your coworker had with you about their mental health (please do not use names).,"Overall, how much importance did your previous employer place on physical health?","Overall, how much importance did your previous employer place on mental health?",Do you *currently* have a mental health disorder?,Have you ever been *diagnosed* with a mental health disorder?,"Anxiety Disorder (Generalized, Social, Phobia, etc)","Mood Disorder (Depression, Bipolar Disorder, etc)","Psychotic Disorder (Schizophrenia, Schizoaffective, etc)","Eating Disorder (Anorexia, Bulimia, etc)",Attention Deficit Hyperactivity Disorder,"Personality Disorder (Borderline, Antisocial, Paranoid, etc)",Obsessive-Compulsive Disorder,Post-Traumatic Stress Disorder,Stress Response Syndromes,Dissociative Disorder,Substance Use Disorder,Addictive Disorder,Other,"Anxiety Disorder (Generalized, Social, Phobia, etc)","Mood Disorder (Depression, Bipolar Disorder, etc)","Psychotic Disorder (Schizophrenia, Schizoaffective, etc)","Eating Disorder (Anorexia, Bulimia, etc)",Attention Deficit Hyperactivity Disorder,"Personality Disorder (Borderline, Antisocial, Paranoid, etc)",Obsessive-Compulsive Disorder,Post-traumatic Stress Disorder,Stress Response Syndromes,Dissociative Disorder,Substance Use Disorder,Addictive Disorder,Other,"Anxiety Disorder (Generalized, Social, Phobia, etc)","Mood Disorder (Depression, Bipolar Disorder, etc)","Psychotic Disorder (Schizophrenia, Schizoaffective, etc)","Eating Disorder (Anorexia, Bulimia, etc)",Attention Deficit Hyperactivity Disorder,"Personality Disorder (Borderline, Antisocial, Paranoid, etc)",Obsessive-Compulsive Disorder,Post-traumatic Stress Disorder,Stress Response Syndromes,Dissociative Disorder,Substance Use Disorder,Addictive Disorder,Other,Have you had a mental health disorder in the past?,Have you ever sought treatment for a mental health disorder from a mental health professional?,Do you have a family history of mental illness?,"If you have a mental health disorder, how often do you feel that it interferes with your work *when being treated effectively?*","If you have a mental health disorder, how often do you feel that it interferes with your work *when* _*NOT*_* being treated effectively (i.e., when you are experiencing symptoms)?*",Have your observations of how another individual who discussed a mental health issue made you less likely to reveal a mental health issue yourself in your current workplace?,How willing would you be to share with friends and family that you have a mental illness?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Why or why not?,Would you bring up your *mental* health with a potential employer in an interview?,Why or why not?,Are you openly identified at work as a person with a mental health issue?,Has being identified as a person with a mental health issue affected your career?,How has it affected your career?,"If they knew you suffered from a mental health disorder, how do you think that your team members/co-workers would react?",Have you observed or experienced an *unsupportive or badly handled response* to a mental health issue in your current or previous workplace?,Describe the circumstances of the badly handled or unsupportive response.,Have you observed or experienced a *supportive or well handled response* to a mental health issue in your current or previous workplace?,Describe the circumstances of the supportive or well handled response.,"Overall, how well do you think the tech industry supports employees with mental health issues?",Briefly describe what you think the industry as a whole and/or employers could do to improve mental health support for employees.,"If there is anything else you would like to tell us that has not been covered by the survey questions, please use this space to do so.",Would you be willing to talk to one of us more extensively about your experiences with mental health issues in the tech industry? (Note that all interview responses would be used _anonymously_ and only with your permission.),What is your age?,What is your gender?,What country do you *live* in?,What US state or territory do you *live* in?,What is your race?,Other,What country do you *work* in?,What US state or territory do you *work* in?,Have you been diagnosed with COVID-19?,Start Date (UTC),Submit Date (UTC),Network ID
0,26-100,1,1,I don't know,No,No,I don't know,I don't know,Very easy,Physical health,Maybe,0,,No,0,,0,,1,1,,,,,,,,,1,0,Some did,"Yes, I was aware of all of them",Some did,Some did,"Yes, always",Mental health,Some of my previous supervisors,0,,"Yes, at all of my previous employers",1,,1,,8,10,Possibly,,,,,,,,,,,,,,,"Anxiety Disorder (Generalized, Social, Phobia, etc)","Mood Disorder (Depression, Bipolar Disorder, etc)",,,,,,,,,,,,,,,,,,,,,,,,,Possibly,0,I don't know,Not applicable to me,Not applicable to me,No,2,Yes,physical health issues often are not stigmatized/held against you,No,"mental health issues are stigmatized and seen as a ""weakness""",0,,,4,No,,No,,2,,,1,28,Female,United States of America,Alaska,White,,United States of America,Alaska,,12/16/2021 20:28,12/16/2021 20:36,f3adc1b78a
0,500-1000,1,1,Yes,No,Yes,Yes,Yes,I don't know,Physical health,No,0,,Maybe,0,,1,,9,9,,,,,,,,,1,1,Some did,I was aware of some,None did,Some did,I don't know,Physical health,"No, none of my previous supervisors",1,,"No, at none of my previous employers",0,,0,,7,8,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,0,No,Not applicable to me,Not applicable to me,Yes,10,Maybe,,No,,0,,,8,"Yes, I observed",,"Yes, I observed",,3,,,1,41,male,Brazil,,,,Brazil,,,12/16/2021 13:42,12/16/2021 18:44,49a51b7ac1
0,100-500,1,1,Yes,Yes,No,I don't know,I don't know,Somewhat easy,Same level of comfort for each,Maybe,0,,Yes,1,Something about been stressed about deadlines,1,Same as my answer,5,5,,,,,,,,,1,1,"Yes, they all did","Yes, I was aware of all of them",None did,None did,I don't know,Same level of comfort for each,"No, none of my previous supervisors",0,,At some of my previous employers,0,,0,,5,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,0,No,Not applicable to me,Not applicable to me,N/A,5,Maybe,if it doesn't affect my ability to do the job,Maybe,if it doesn't affect my chance of getting the job,0,,,8,No,,Maybe/Not sure,,3,discuss the topic openly,,0,35,Male,Brazil,,,,Brazil,,,12/16/2021 13:01,12/16/2021 13:14,f9e26fd31a
1,,,,,,,,,,,,,,,,,,,,,0,"No, I don't know any","No, because it doesn't matter",I'm not sure,"No, because it doesn't matter",Not applicable to me,No,,0,,,,,,,,,,,,,,,,,,Don't Know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Don't Know,0,Yes,Sometimes,Sometimes,N/A,1,No,uikjgiu,Maybe,kjhn,0,,,1,Maybe/Not sure,,"Yes, I observed",,2,lk,j,0,20,male,Italy,,,,Italy,,,12/16/2021 8:57,12/16/2021 8:59,73a0e1b4c5
0,More than 1000,0,1,Yes,No,Yes,Yes,I don't know,Difficult,Physical health,No,0,,Maybe,0,,0,,10,10,,,,,,,,,1,0,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did","Yes, they all did","Yes, always",Physical health,Some of my previous supervisors,0,,At some of my previous employers,1,understandable,1,,8,8,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,No,Rarely,Often,Maybe,8,No,,No,,0,,,5,No,,Maybe/Not sure,,3,,,1,35,female,Canada,,,,Canada,,,12/8/2021 14:35,12/8/2021 14:44,bade27e84d
0,25-Jun,1,1,No,No,No,No,No,Difficult,Same level of comfort for each,No,0,,No,0,,0,,1,1,,,,,,,,,1,1,I don't know,N/A (none offered),None did,None did,No,Same level of comfort for each,"No, none of my previous supervisors",0,,"No, at none of my previous employers",0,,0,,1,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,0,No,Not applicable to me,Not applicable to me,Yes,5,No,Assumptions,No,Assumptions,0,,,1,Maybe/Not sure,,No,,1,Empathy Training,More folks need to talk about unrealistic expectations in the workplace.,0,30,Female,United States of America,New York,More than one of the above,,United States of America,New York,,12/8/2021 3:35,12/8/2021 4:16,94a550bf32
0,More than 1000,1,1,No,Yes,Yes,Yes,Yes,Somewhat easy,Physical health,Yes,1,,No,0,,0,,9,5,,,,,,,,,0,,,,,,,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,No,Sometimes,Often,No,8,No,,No,,0,,,8,Maybe/Not sure,,Maybe/Not sure,,5,,,0,34,female,United States of America,Maryland,Asian,,United States of America,Maryland,,12/4/2021 21:28,12/4/2021 21:33,b7ab754243
0,More than 1000,0,1,Yes,Yes,No,No,I don't know,Very easy,Physical health,Maybe,0,,No,0,,0,,6,6,,,,,,,,,0,,,,,,,,,,,,,,,,,,Don't Know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Don't Know,0,I don't know,Not applicable to me,Sometimes,Maybe,4,No,Fear of it being a major disadvantage,No,Fear of it being a major disadvantage,0,,,4,Maybe/Not sure,,Maybe/Not sure,,3,,,0,23,female,Germany,,,,Germany,,,12/4/2021 13:09,12/4/2021 13:15,94a641c0dd
0,More than 1000,1,1,No,No,Yes,No,No,Somewhat difficult,Same level of comfort for each,No,0,,Maybe,0,,1,,8,6,,,,,,,,,0,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,0,No,Not applicable to me,Often,Maybe,4,No,It's not right to bring it up and it'll seem like seeking empathy.,No,It'll be like seeking empathy.,0,,,5,"Yes, I observed",,"Yes, I observed",,2,,,0,19,Female,India,,,,India,,,12/1/2021 18:42,12/1/2021 18:57,59a3ffde6d
1,,,,,,,,,,,,,,,,,,,,,1,I know some,"No, because it doesn't matter",Negatively,"No, because it doesn't matter",Negatively,Yes,26-50%,1,0,I don't know,"No, I only became aware later",Some did,"Yes, they all did",Sometimes,Same level of comfort for each,I don't know,1,,"Yes, at all of my previous employers",1,j,0,,3,5,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,Sometimes,Sometimes,No,3,Maybe,,Maybe,,0,,,3,No,,No,,2,,,0,34,f,Belarus,,,,Belarus,,,11/30/2021 13:05,11/30/2021 13:07,5fca839351
